,similarity_scores_80,similarity_scores_85,similarity_scores_90,similarity_scores_95
Shaving & Dental Kit,['Shaving & Dental Kit'],['Shaving & Dental Kit'],['Shaving & Dental Kit'],['Shaving & Dental Kit']
Fireplace in lobby,"['Microwave in lobby', 'Fireplace in lobby', 'Fireplace', 'Firplace in lobby']","['Fireplace in lobby', 'Firplace in lobby']",['Fireplace in lobby'],['Fireplace in lobby']
Free wired high-speed Internet,"['Wired high-speed Internet access (surcharge)', 'Free WiFi Internet Connectivity', 'Free Internet', 'High speed Internet access', 'Dial-up Internet access - complimentary', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (complimentary)', 'Hi Speed Internet Facility Is Available 24 Chargeble Extra ( Bord-band Bsnl)', 'Wired Internet', 'Internet access-high speed', 'Free WiFi Internet', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Wired (high-speed) Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Internet access-high speed', 'Free high-speed Internet access', 'High-speed broadband and wireless Internet access', 'Wired (high-speed) Internet access - surcharge']","['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Internet access-high speed', 'Free high-speed Internet access', 'High-speed broadband and wireless Internet access', 'Wired (high-speed) Internet access - surcharge']","['Free wired high-speed Internet', 'Free high-speed Internet access']"
Travel agency facilities,"['Travel agency facilities', 'Travel Assistance']",['Travel agency facilities'],['Travel agency facilities'],['Travel agency facilities']
Free garage parking,"['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Garage parking (surcharge)', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free RV, bus, truck parking', 'Parking', 'Free outdoor parking', 'Parking garage', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']","['Free parking nearby', 'Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free garage parking', 'Free valet parking', 'Free outdoor parking', 'Parking garage', 'Free on-street parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']","['Parking(free)', 'Free garage parking', 'Parking garage', 'Free Parking', 'Parking (free)']",['Free garage parking']
Bathrobes,['Bathrobes'],['Bathrobes'],['Bathrobes'],['Bathrobes']
Teambuilding activities,['Teambuilding activities'],['Teambuilding activities'],['Teambuilding activities'],['Teambuilding activities']
32'' LCD Flat-screen TV,"['LCD', 'Flat screen color television with multi-channel cable', ""32'' LCD Flat-screen TV"", 'LCD TV', ""22'' LCD TV"", 'LCD television with multi channel cable', 'Flat-panel TV', 'LCD TV with Set', ""40'' LCD Flat screen TV""]","[""32'' LCD Flat-screen TV"", 'LCD TV', ""22'' LCD TV"", 'Flat-panel TV', 'LCD TV with Set', ""40'' LCD Flat screen TV""]","[""32'' LCD Flat-screen TV"", ""40'' LCD Flat screen TV""]","[""32'' LCD Flat-screen TV"", ""40'' LCD Flat screen TV""]"
24 hours power back-up,"['24 hours front desk', 'Check-Out Time is 12 Noon', 'Hot and cold running water available 24 hrs', '24 hours power back-up', 'Hot water for 8 hours a day', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)']",['24 hours power back-up'],['24 hours power back-up'],['24 hours power back-up']
Dancing,"['Dancing', 'Ballroom dancing']","['Dancing', 'Ballroom dancing']",['Dancing'],['Dancing']
Aqua-guard/RO filtered water,['Aqua-guard/RO filtered water'],['Aqua-guard/RO filtered water'],['Aqua-guard/RO filtered water'],['Aqua-guard/RO filtered water']
Airline desk,"['Travel Desk', 'Travel desk', 'Airline desk']",['Airline desk'],['Airline desk'],['Airline desk']
Television,"['Satellite Television', 'Television', 'Television-Room', 'Satellite television']","['Satellite Television', 'Television', 'Satellite television']",['Television'],['Television']
Massage-treatment room(s),"['Massage - spa treatment room(s)', 'Massage-treatment room(s)', 'In-room massage available', 'Massage room']","['Massage - spa treatment room(s)', 'Massage-treatment room(s)', 'In-room massage available', 'Massage room']","['Massage - spa treatment room(s)', 'Massage-treatment room(s)']","['Massage - spa treatment room(s)', 'Massage-treatment room(s)']"
Board Room,"['Meeting room', 'Board Room', 'TVLiving Room']",['Board Room'],['Board Room'],['Board Room']
Ticket Service,"['Ticket Service', 'Ticket service']","['Ticket Service', 'Ticket service']","['Ticket Service', 'Ticket service']","['Ticket Service', 'Ticket service']"
Beach volleyball,"['Beach volleyball', 'Volleyball']",['Beach volleyball'],['Beach volleyball'],['Beach volleyball']
Spa services onsite - Free,"['Spa services on site - Chargeable', 'Full-service health spa', 'Spa services on site', 'Spa services onsite - Free', 'Full-sevices health spa', 'Spa services nearby', 'Spa services']","['Full-service health spa', 'Spa services on site', 'Spa services onsite - Free', 'Spa services nearby', 'Spa services']","['Spa services onsite - Free', 'Spa services']",['Spa services onsite - Free']
Shop,"['Shop', 'Coffee Shop', 'Jewellery shop']",['Shop'],['Shop'],['Shop']
Room Size:51 sq m(548 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Baby sitting,['Baby sitting'],['Baby sitting'],['Baby sitting'],['Baby sitting']
Tree house,['Tree house'],['Tree house'],['Tree house'],['Tree house']
Cricket,['Cricket'],['Cricket'],['Cricket'],['Cricket']
Spa & Wellness Centre,"['Spa & Wellness Centre', 'Full-sevices health spa', 'Massage Centre', 'Health and fitness centre', 'Spa/Massage/Wellness', 'Spa and wellness centre', 'Fitness Centre', 'Spa services', 'Fitness centre', 'Spa']","['Spa & Wellness Centre', 'Spa/Massage/Wellness', 'Spa and wellness centre', 'Spa']","['Spa & Wellness Centre', 'Spa and wellness centre']","['Spa & Wellness Centre', 'Spa and wellness centre']"
VIP Room Facilities,"['VIP room facilities', 'Room Service', 'VIP Room Facilities', 'Room service', 'In-room safe (some rooms)', 'TVLiving Room']","['VIP room facilities', 'VIP Room Facilities']","['VIP room facilities', 'VIP Room Facilities']","['VIP room facilities', 'VIP Room Facilities']"
Kids Pool,"[""Children's pool"", 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool', 'Kids Pool', 'Swimming pool (men only)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool', ""1 children's pool"", 'Indoor pool (all year)']","[""Children's pool"", 'Kids Pool', ""Swimming pool - children's""]","['Kids Pool', ""Swimming pool - children's""]",['Kids Pool']
Chapel/Shrine,['Chapel/Shrine'],['Chapel/Shrine'],['Chapel/Shrine'],['Chapel/Shrine']
Vending machine,"['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']","['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']","['Vending machine (snacks)', 'Vending machine', 'Vending Machine (snacks)', 'Vending machine (drinks)', 'Vending Machine (drinks)']",['Vending machine']
Furnished patio,"['Furnished balcony', 'Furnished patio', 'Patio-room', 'Furnished balcony or patio', 'Garden terrace', 'Patio', 'Balcony or patio', 'Patio-Property']","['Furnished balcony', 'Furnished patio', 'Patio-room', 'Furnished balcony or patio', 'Patio']","['Furnished patio', 'Furnished balcony or patio']",['Furnished patio']
Refrigerator-Room,"['Refrigerator', 'Refrigerator-Room', 'TVLiving Room', 'Fridge', 'Room Heater', 'Separate dining room', 'Ice and ironing Room', 'Full-sized refrigerator/freezer']","['Refrigerator', 'Refrigerator-Room', 'TVLiving Room']",['Refrigerator-Room'],['Refrigerator-Room']
Fruit Basket On Request,"['Fruit Basket On Request', 'Fruit Basket']",['Fruit Basket On Request'],['Fruit Basket On Request'],['Fruit Basket On Request']
Microwave (on request),"['Microwave (on request)', 'Refrigerator (on request)']","['Microwave (on request)', 'Refrigerator (on request)']","['Microwave (on request)', 'Refrigerator (on request)']",['Microwave (on request)']
TVTelevision,[],[],[],[]
Bathtub only,"['Shower only', 'bathtub', 'Bathtub or shower', 'Bathtub only', 'Bathtub', 'Separate bathtub and shower']","['Shower only', 'bathtub', 'Bathtub or shower', 'Bathtub only', 'Bathtub', 'Separate bathtub and shower']",['Bathtub only'],['Bathtub only']
Hiking/biking trails,"['Mountain biking', 'Hiking/biking trails', 'Walking trails', 'Hiking']","['Mountain biking', 'Hiking/biking trails', 'Walking trails', 'Hiking']","['Mountain biking', 'Hiking/biking trails', 'Hiking']",['Hiking/biking trails']
Cookies,"['Cookies', 'Chocolate/Cookie Platter', 'Cookie & Chocolate Platter']",['Cookies'],['Cookies'],['Cookies']
Hot water for 8 hours a day,"['Check-Out Time is 12 Noon', 'Hot and cold running water available 24 hrs', '24 hours power back-up', 'Hot water for 8 hours a day', '24 Hour Doctor On Call.Hot/cold Water', '24-hrs Hot & Cold Water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'Room Service (24 Hours)(after 11:00pm.round The Clock Menu)']","['Hot and cold running water available 24 hrs', 'Hot water for 8 hours a day', '24 Hour Doctor On Call.Hot/cold Water', '24-hrs Hot & Cold Water', '24-hr Hot & Cold Water']","['Hot and cold running water available 24 hrs', 'Hot water for 8 hours a day', '24 Hour Doctor On Call.Hot/cold Water']",['Hot water for 8 hours a day']
Separate bedroom,"['Rooms Convertable into twin bedroom', 'Separate bedroom', 'Separate living room', 'Separate dining room']",['Separate bedroom'],['Separate bedroom'],['Separate bedroom']
Kitchenette,"['Equipped Kitchenette', 'Kitchenette']","['Equipped Kitchenette', 'Kitchenette']","['Equipped Kitchenette', 'Kitchenette']",['Kitchenette']
Shopping arcade,"['Shopping arcade', 'Shopping Arcade']","['Shopping arcade', 'Shopping Arcade']","['Shopping arcade', 'Shopping Arcade']","['Shopping arcade', 'Shopping Arcade']"
Toiletries in the Bathroom,"['Attached bathroom in all the rooms', 'Toiletries in the Bathroom', 'Separate bathtub and shower', 'Extra towels/bedding in room', 'Geyser in the Bathroom', 'Shared bathroom with sink in room', 'Bathroom Toiletries', 'Toiletries In The Bathroom']","['Toiletries in the Bathroom', 'Bathroom Toiletries', 'Toiletries In The Bathroom']","['Toiletries in the Bathroom', 'Toiletries In The Bathroom']","['Toiletries in the Bathroom', 'Toiletries In The Bathroom']"
Bathtub,"['bathtub', 'Bathtub or shower', 'Bathtub only', 'Bathtub', 'Separate bathtub and shower', 'Jetted bathtub', 'Deep soaking bathtub', 'Jacuzzi Bathtub']","['bathtub', 'Bathtub or shower', 'Bathtub only', 'Bathtub', 'Jetted bathtub', 'Jacuzzi Bathtub']","['bathtub', 'Bathtub', 'Jacuzzi Bathtub']","['bathtub', 'Bathtub']"
Walking trails,"['Hiking/biking trails', 'Walking trails', 'Nature trails']","['Hiking/biking trails', 'Walking trails']",['Walking trails'],['Walking trails']
Patio-room,"['Living Room and Bed Room', 'Furnished patio', 'Patio-room', 'Furnished balcony or patio', 'TVLiving Room', 'Separate dining room', 'Patio', 'Balcony or patio']","['Furnished patio', 'Patio-room', 'Furnished balcony or patio', 'TVLiving Room', 'Separate dining room', 'Patio', 'Balcony or patio']",['Patio-room'],['Patio-room']
Bathroom telephone,"['Bathroom telephone', 'Telephone', 'Bathroom phone', 'Telephone-Room']","['Bathroom telephone', 'Bathroom phone', 'Telephone-Room']","['Bathroom telephone', 'Bathroom phone']",['Bathroom telephone']
TVHot/cold Water,"['Hot and cold running water available 24 hrs', 'TVHot/cold Water', 'Hot & Cold water', 'Hot Water', '24-hrs Hot & Cold Water', 'Bottled/drinking water', 'hot water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'Hot/cold Water', 'TVHot & Cold Running Water']","['TVHot/cold Water', 'Hot & Cold water', 'Hot Water', 'hot water', 'Hot & Cold Running Water', 'Hot/cold Water', 'TVHot & Cold Running Water']","['TVHot/cold Water', 'Hot & Cold water', 'Hot & Cold Running Water', 'Hot/cold Water', 'TVHot & Cold Running Water']",['TVHot/cold Water']
Free breakfast,"['Free breakfast', 'breakfast', 'Complimentary Breakfast']",['Free breakfast'],['Free breakfast'],['Free breakfast']
Running track,['Running track'],['Running track'],['Running track'],['Running track']
Mini theatre,['Mini theatre'],['Mini theatre'],['Mini theatre'],['Mini theatre']
TEA MAKER IN ROOM,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Breakfast in the Room', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Breakfast in the room', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']","['Tea coffee maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']","['Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/Coffee maker in the Room']","['Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/Coffee maker in the Room']"
Sauna (Men only),"['Sauna (Men only)', 'Swimming pool (men only)', 'Fitness centre (men only)']","['Sauna (Men only)', 'Swimming pool (men only)']",['Sauna (Men only)'],['Sauna (Men only)']
Banking services,"['Banking services', 'Business services']","['Banking services', 'Business services']",['Banking services'],['Banking services']
1 indoor pool (heated),"['Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', '1 indoor pool (heated)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)']","['1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Indoor Swimming Pool', '1 indoor pool (heated)', 'Swimming pool - indoor', 'Swimming pool - outdoor']","['1 outdoor pool (heated)', '1 indoor pool (heated)']","['1 outdoor pool (heated)', '1 indoor pool (heated)']"
Bathrobe,['Bathrobe'],['Bathrobe'],['Bathrobe'],['Bathrobe']
Swimming pool (men only),"['Swimming pools', 'Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Swimming pool', 'Swimming Pool', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Kids Pool', 'Sauna (Men only)', 'Swimming pool (men only)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Kiddy Swimming Pool', 'Indoor pool (all year)']","['Outdoor Swimming Pool (all year)', 'Swimming pool', 'Swimming Pool', 'Sauna (Men only)', 'Swimming pool (men only)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)']",['Swimming pool (men only)'],['Swimming pool (men only)']
Pots and Pans,['Pots and Pans'],['Pots and Pans'],['Pots and Pans'],['Pots and Pans']
Access to Club Lounge,"['Access to Business Club Lounge', 'Access to Club Lounge', 'Trident Club Lounge Access', 'Club Lounge Access', 'Business Club Lounge Access']","['Access to Business Club Lounge', 'Access to Club Lounge', 'Trident Club Lounge Access', 'Club Lounge Access', 'Business Club Lounge Access']","['Access to Business Club Lounge', 'Access to Club Lounge', 'Club Lounge Access', 'Business Club Lounge Access']","['Access to Business Club Lounge', 'Access to Club Lounge', 'Club Lounge Access']"
Pillow menu,['Pillow menu'],['Pillow menu'],['Pillow menu'],['Pillow menu']
Shuttle,"['Shuttle Service', 'Airport shuttle(surcharge)', 'Shuttle', 'Airport Shuttle (free)', 'Ferry terminal shuttle (complimentary)', 'Airport Shuttle', 'Area shuttle', 'Airport Shuttle (surcharge)']","['Shuttle', 'Airport Shuttle']",['Shuttle'],['Shuttle']
Live Entertainment,"['Live Entertainment', 'Live entertainment']","['Live Entertainment', 'Live entertainment']","['Live Entertainment', 'Live entertainment']","['Live Entertainment', 'Live entertainment']"
Newspapers,"['Newspapers', 'Newspaper', 'TVDaily Newspaper']",['Newspapers'],['Newspapers'],['Newspapers']
Breakfast services,"['Catering services', 'Breakfast services', 'Breakfast service', 'breakfast']","['Breakfast services', 'Breakfast service']","['Breakfast services', 'Breakfast service']",['Breakfast services']
MP3 docking station,"['Pod docking station', 'MP3 docking station']",['MP3 docking station'],['MP3 docking station'],['MP3 docking station']
Golf,"['Golf (nearby)', 'Golf', 'Golf camps', 'Miniature Golf Course', 'Mini Golf']","['Golf (nearby)', 'Golf', 'Mini Golf']",['Golf'],['Golf']
Âƒ,[],[],[],[]
Full-sevices health spa,"['Full-service health spa', 'Spa services onsite - Free', 'Spa & Wellness Centre', 'Full-sevices health spa', 'Spa/Massage/Wellness', 'Spa and wellness centre', 'Spa services']","['Full-service health spa', 'Full-sevices health spa', 'Spa services']","['Full-service health spa', 'Full-sevices health spa']",['Full-sevices health spa']
Local Expert Concierge,"['Local Expert Concierge', 'Concierge services']",['Local Expert Concierge'],['Local Expert Concierge'],['Local Expert Concierge']
Boat hire,"['Boat hire', 'Car Hire']",['Boat hire'],['Boat hire'],['Boat hire']
Super Market,['Super Market'],['Super Market'],['Super Market'],['Super Market']
Dial-up Internet access (complimentary),"['Wired high-speed Internet access (surcharge)', 'High speed Internet access', 'Dial-up Internet access - complimentary', 'Internet access-high-speed', 'Free wired high-speed Internet', 'Dial-up Internet access (complimentary)', 'Free Wi-Fi Internet Access Included', 'Dial-up Internet access (surcharge)', 'Internet access-high speed', 'Internet access (on request)', 'Free high-speed Internet access', 'Internet access-dial-up', 'High-speed broadband and wireless Internet access', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']","['Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-dial-up', 'Internet access', 'TV Internet access (complimentary)', 'Internet access-complementary', 'Dial-up Internet access - surcharge', 'Internet access-complimentary']","['Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-dial-up', 'TV Internet access (complimentary)', 'Dial-up Internet access - surcharge', 'Internet access-complimentary']","['Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Internet access-dial-up']"
Chargeable WiFi Internet,"['Free WiFi Internet Connectivity', 'Internet / Wifi', 'Chargeable WiFi Internet', 'WiFi Internet Connectivity', 'Chargeable WiFi Internet Connectivity', 'Wifi EnabledFireplace', 'Free WiFi Internet', 'WiFi', 'Wireless Internet access (surcharge)', 'Chargeable Wi Fi Internet Connectivity', 'Wireless Internet access - surcharge', 'WiFi Internet']","['Internet / Wifi', 'Chargeable WiFi Internet', 'WiFi Internet Connectivity', 'Chargeable WiFi Internet Connectivity', 'WiFi Internet']","['Internet / Wifi', 'Chargeable WiFi Internet', 'Chargeable WiFi Internet Connectivity', 'WiFi Internet']","['Chargeable WiFi Internet', 'Chargeable WiFi Internet Connectivity']"
Massage Centre,"['Spa & Wellness Centre', 'Massage Centre', 'Massage', 'Spa/Massage/Wellness', 'Spa and wellness centre', 'Massage (nearby)']",['Massage Centre'],['Massage Centre'],['Massage Centre']
Cultural shows,['Cultural shows'],['Cultural shows'],['Cultural shows'],['Cultural shows']
Beach Nearby,"['Private Beach Area', 'Private beach', 'Beach Nearby', 'Park Nearby', 'Playground (nearby)', 'Swimming (nearby)']","['Beach Nearby', 'Swimming (nearby)']",['Beach Nearby'],['Beach Nearby']
Rollaway beds,"['Rollaway beds', 'Rollaway/extra beds available']","['Rollaway beds', 'Rollaway/extra beds available']",['Rollaway beds'],['Rollaway beds']
Airport transportation free,"['Complimentary Airport/Railway Station Transfer', 'Airport transportation(surcharge)', 'Airport transportation - drop-off (complimentary)', 'Airport transportation - pickup (complimentary)', 'Complimentary Airport/railway Station Transfer', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport Shuttle (free)', 'Airport transportation (surcharge)', 'Transportation', 'Shuttle Service (free)', 'Airport Shuttle', 'Airport transportation - drop-off (surcharge)', 'Airport Transfer', 'Airport transportation - pickup (surcharge)', 'Airport transfer (complimentary)']","['Airport transportation(surcharge)', 'Airport transportation - drop-off (complimentary)', 'Airport transportation - pickup (complimentary)', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport Shuttle (free)', 'Airport transportation (surcharge)']","['Airport transportation (complimentary)', 'Airport transportation free', 'Airport transportation', 'Airport Shuttle (free)']",['Airport transportation free']
ATM/Cash Machine on site,['ATM/Cash Machine on site'],['ATM/Cash Machine on site'],['ATM/Cash Machine on site'],['ATM/Cash Machine on site']
Children's club (free),"[""Children's pool"", ""Children's club (free)"", ""Children's Playground"", ""Children's play area"", ""Children's entertainment"", ""Children's club (surcharge)"", ""Children's club"", ""Children's Play Area""]","[""Children's club (free)"", ""Children's club (surcharge)"", ""Children's club""]","[""Children's club (free)"", ""Children's club""]","[""Children's club (free)""]"
Conference center,"['Conference center', 'Conference Hall']",['Conference center'],['Conference center'],['Conference center']
Books/Magazines,['Books/Magazines'],['Books/Magazines'],['Books/Magazines'],['Books/Magazines']
